Ploiesti,15-12-2021
Ploiesti,15-12-2021
Pitesti,15-12-2021
Pitesti,15-12-2021
Pitesti,15-12-2021
Cluj,15-12-2021
Oradea,15-12-2021
Oradea,15-12-2021
Satu Mare,15-12-2021
Satu Mare,15-12-2021
Satu Mare,15-12-2021
Giurgiu,15-12-2021
Craiova,15-12-2021
Iasi,15-12-2021
Iasi,15-12-2021
Bacau,15-12-2021
Bacau,15-12-2021
Bacau,15-12-2021
Bacau,15-12-2021
Constanta,15-12-2021
Constanta,15-12-2021
Ploiesti,16-12-2021
Ploiesti,16-12-2021
Pitesti,16-12-2021
Pitesti,16-12-2021
Cluj,16-12-2021
Oradea,16-12-2021
Oradea,16-12-2021
Satu Mare,16-12-2021
Satu Mare,16-12-2021
Giurgiu,16-12-2021
Iasi,16-12-2021
Bacau,16-12-2021
Bacau,16-12-2021
Constanta,16-12-2021
Constanta,16-12-2021
Constanta,16-12-2021
